OBJECTID,location_id,address_primary,city,state,zip,Challenge_Potential_Served,Uniti_availability
861084,1123499449,4040 W 11TH AVE,GARY,IN,46404,TRUE,unavailable
861085,1123439792,1045 LANE ST,GARY,IN,46404,TRUE,unavailable
861086,1123439793,1055 LANE ST,GARY,IN,46404,TRUE,unavailable
861087,1123439794,1051 LANE ST,GARY,IN,46404,TRUE,unavailable
861088,1123439795,1039 LANE ST,GARY,IN,46404,TRUE,unavailable
861184,1144669498,8792 N COUNTY ROAD 300 W BLDG 2,BATESVILLE,IN,47006,TRUE,unavailable
861185,1144669492,9045 N COUNTY ROAD 300 W,BATESVILLE,IN,47006,TRUE,unavailable
861186,1144669519,9561 N COUNTY ROAD 300 W,BATESVILLE,IN,47006,TRUE,unavailable
861187,1144669500,2929 W STATE ROAD 229,BATESVILLE,IN,47006,TRUE,unavailable
861188,1384712642,2891 W STATE ROAD 229,BATESVILLE,IN,47006,TRUE,unavailable
861189,1144669495,8792 N COUNTY ROAD 300 W,BATESVILLE,IN,47006,TRUE,unavailable
861191,1144683100,9503 N COUNTY ROAD 350 W,BATESVILLE,IN,47006,TRUE,unavailable
861192,1144683144,9558 N US HIGHWAY 421,OSGOOD,IN,47037,TRUE,available
861194,1144683128,9410 N US HIGHWAY 421,OSGOOD,IN,47037,TRUE,available
861195,1144670825,9610 N COUNTY ROAD 350 W,BATESVILLE,IN,47006,TRUE,unavailable
861286,1144682339,6884 W MILLHOUSEN RD,OSGOOD,IN,47037,TRUE,unavailable
861288,1144683446,5844 W COUNTY ROAD 1050 N,OSGOOD,IN,47037,TRUE,unavailable
861293,1144684157,3675 W COUNTY ROAD 525 N,OSGOOD,IN,47037,TRUE,unavailable
861294,1144682981,4733 N COUNTY ROAD 300 W,OSGOOD,IN,47037,TRUE,unavailable
861302,1144684175,4061 W COUNTY ROAD 525 N,OSGOOD,IN,47037,TRUE,
861303,1144684185,4183 W COUNTY ROAD 525 N,OSGOOD,IN,47037,TRUE,unavailable
861304,1413421387,4168 W COUNTY ROAD 525 N,OSGOOD,IN,47037,TRUE,unavailable
861358,1123439796,1033 LANE ST,GARY,IN,46404,TRUE,unavailable
861359,1123439797,1021 LANE ST,GARY,IN,46404,TRUE,unavailable
861449,1144684190,3846 W COUNTY ROAD 450 N,OSGOOD,IN,47037,TRUE,unavailable
861454,1144682979,5141 N COUNTY ROAD 300 W BLDG 2,OSGOOD,IN,47037,TRUE,unavailable
861919,1043894756,4567 E 500 S,FRANKLIN,IN,46131,TRUE,unavailable
862056,1043894746,4693 E 500 S,FRANKLIN,IN,46131,TRUE,unavailable
862109,1029589729,206 E LANE ST,SAINT PAUL,IN,47272,TRUE,unavailable
862110,1029589730,401 N JACKSON ST,SAINT PAUL,IN,47272,TRUE,unavailable
862114,1029589085,404 N WEBSTER ST,SAINT PAUL,IN,47272,TRUE,unavailable
862115,1029589721,202 E LANE ST,SAINT PAUL,IN,47272,TRUE,unavailable
862116,1029589723,406 N WEBSTER ST,SAINT PAUL,IN,47272,TRUE,unavailable
862117,1029589724,408 N WEBSTER ST,SAINT PAUL,IN,47272,TRUE,unavailable
862263,1029587207,302 N JACKSON ST,SAINT PAUL,IN,47272,TRUE,available
862264,1029587300,304 E HARRISON ST,SAINT PAUL,IN,47272,TRUE,available
862265,1029589741,308 N JACKSON ST,SAINT PAUL,IN,47272,TRUE,available
862266,1029589742,306 N JACKSON ST,SAINT PAUL,IN,47272,TRUE,available
862267,1029587296,208 E HARRISON ST,SAINT PAUL,IN,47272,TRUE,available
862268,1029587298,206 E HARRISON ST,SAINT PAUL,IN,47272,TRUE,
862269,1029589743,307 N JACKSON ST,SAINT PAUL,IN,47272,TRUE,available
862270,1029589744,205 E LANE ST,SAINT PAUL,IN,47272,TRUE,available
862907,1106683081,9401 S 100 W,MILROY,IN,46156,TRUE,unavailable
862908,1106680573,601 W 900 S,MILROY,IN,46156,TRUE,unavailable
862909,1106680080,9078 S 100 W,MILROY,IN,46156,TRUE,unavailable
863145,1043894129,5151 S 325 E,FRANKLIN,IN,46131,TRUE,unavailable
863380,1144684210,5080 N OLD MICHIGAN RD,OSGOOD,IN,47037,TRUE,unavailable
863699,1144684141,3588 W COUNTY ROAD 450 N,OSGOOD,IN,47037,TRUE,unavailable
863700,1144684143,3430 W COUNTY ROAD 450 N,OSGOOD,IN,47037,TRUE,unavailable
863705,1144684148,4186 W COUNTY ROAD 450 N,OSGOOD,IN,47037,TRUE,unavailable
863706,1144684248,4134 W COUNTY ROAD 450 N,OSGOOD,IN,47037,TRUE,unavailable
863707,1144684145,4672 N OLD MICHIGAN RD,OSGOOD,IN,47037,TRUE,unavailable
864295,1106684806,1251 W 900 S,MILROY,IN,46156,TRUE,unavailable
864296,1106685542,1299 W 900 S,MILROY,IN,46156,TRUE,unavailable
864297,1106686351,1427 W 900 S,MILROY,IN,46156,TRUE,unavailable
864298,1106684753,1455 W COUNTY ROAD 900 S,MILROY,IN,46156,TRUE,unavailable
864400,1144667177,13343 N COUNTY ROAD 50 W,BATESVILLE,IN,47006,TRUE,unavailable
864401,1144667096,13501 N COUNTY ROAD 50 W,BATESVILLE,IN,47006,TRUE,unavailable
864403,1144667101,12901 N COUNTY ROAD 50 W,BATESVILLE,IN,47006,TRUE,unavailable
864404,1144667109,12801 N COUNTY ROAD 50 W,BATESVILLE,IN,47006,TRUE,
864405,1144667116,12779 N COUNTY ROAD 50 W,BATESVILLE,IN,47006,TRUE,unavailable
864406,1144667142,12843 N COUNTY ROAD 50 W,BATESVILLE,IN,47006,TRUE,unavailable
864409,1144667108,12931 N COUNTY ROAD 50 W,BATESVILLE,IN,47006,TRUE,unavailable
864411,1384898388,908 COUNTY ROAD 900 S,MILROY,IN,46156,TRUE,unavailable
864412,1106689758,699 W 900 S,MILROY,IN,46156,TRUE,unavailable
864522,1144667145,561 W COUNTY ROAD 1300 N,BATESVILLE,IN,47006,TRUE,unavailable
864523,1144667204,468 W COUNTY ROAD 1300 N,BATESVILLE,IN,47006,TRUE,unavailable
864525,1144667027,13403 N COUNTY ROAD 100 W,BATESVILLE,IN,47006,TRUE,unavailable
864528,1144667144,12852 N COUNTY ROAD 100 W,BATESVILLE,IN,47006,TRUE,unavailable
864529,1144667179,859 W COUNTY ROAD 1300 N,BATESVILLE,IN,47006,TRUE,unavailable
864532,1144667117,12863 N COUNTY ROAD 100 W,BATESVILLE,IN,47006,TRUE,unavailable
