object_id,location_id,address_primary,city,state,zip,Challenge_Potential_Served,Uniti_availability
45704,1123372422,208 S GREEN ST,NEW ROSS,IN,47968,TRUE,
45705,1123372423,204 S GREEN ST,NEW ROSS,IN,47968,TRUE,
45706,1123372425,207 S MAIN ST,NEW ROSS,IN,47968,TRUE,
45707,1123372426,205 S MAIN ST,NEW ROSS,IN,47968,TRUE,
45708,1123372400,215 S GREEN ST,NEW ROSS,IN,47968,TRUE,
45709,1123372408,220 RAILROAD ST BLDG 2,NEW ROSS,IN,47968,TRUE,
45710,1123372409,216 WEST ST,NEW ROSS,IN,47968,TRUE,
45711,1123372410,210 WEST ST,NEW ROSS,IN,47968,TRUE,
45712,1123372412,204 WEST ST,NEW ROSS,IN,47968,TRUE,
45713,1123372413,206 WEST ST,NEW ROSS,IN,47968,TRUE,
45714,1123372414,208 WEST ST,NEW ROSS,IN,47968,TRUE,
45794,1049711366,305 S 200 W,VEEDERSBURG,IN,47987,TRUE,
45871,1135399810,2294 W 800 N,FOWLER,IN,47944,TRUE,
45872,1135399798,7196 N 200 W,FOWLER,IN,47944,TRUE,
46168,1135399988,1540 E 900 N,GOODLAND,IN,47948,TRUE,
46177,1135400473,9326 W 1800 S,EARL PARK,IN,47942,TRUE,
46178,1135398318,8963 W 855 N,EARL PARK,IN,47942,TRUE,
46179,1135398319,8585 N STATE ROAD 71,EARL PARK,IN,47942,TRUE,
46180,1135398320,8983 W 855 N,EARL PARK,IN,47942,TRUE,
46181,1135398296,8608 N STATE ROAD 71,EARL PARK,IN,47942,TRUE,
46182,1135398316,8566 N STATE ROAD 71 BLDG 2,EARL PARK,IN,47942,TRUE,
46183,1135398317,8566 N STATE ROAD 71,EARL PARK,IN,47942,TRUE,
46184,1135401508,8984 W 855 N,EARL PARK,IN,47942,TRUE,
46185,1135400474,2692 N STATE ROAD 71 BLDG 2,EARL PARK,IN,47942,TRUE,
46186,1135397175,8475 N 885 W,EARL PARK,IN,47942,TRUE,
46187,1135400479,8873 W 855 N,EARL PARK,IN,47942,TRUE,
46188,1135400480,8851 W 855 N,EARL PARK,IN,47942,TRUE,
46189,1135400482,8929 W 855 N,EARL PARK,IN,47942,TRUE,
46190,1135400483,8911 W 855 N,EARL PARK,IN,47942,TRUE,
46191,1135401512,8852 W 845 N,EARL PARK,IN,47942,TRUE,
46415,1049712768,700 N SANDHILL RD,COVINGTON,IN,47932,TRUE,
46416,1049712773,737 N SANDHILL RD,COVINGTON,IN,47932,TRUE,
46473,1135401513,8908 W 845 N,EARL PARK,IN,47942,TRUE,
46474,1135398323,8469 N 895 W,EARL PARK,IN,47942,TRUE,
46475,1135398325,8908 W 850 N,EARL PARK,IN,47942,TRUE,
46476,1135398326,8468 N 890 W,EARL PARK,IN,47942,TRUE,
46477,1135400488,8925 W 845 N,EARL PARK,IN,47942,TRUE,
46478,1135404912,8458 N 890 W BLDG 2,EARL PARK,IN,47942,TRUE,
46479,1413395505,845 N 845 N BLDG 2,EARL PARK,IN,47942,TRUE,
46480,1413395506,8458 N 890 W,EARL PARK,IN,47942,TRUE,
46485,1135401507,8981 W 850 N,EARL PARK,IN,47942,TRUE,
46486,1135401509,8546 N 895 W,EARL PARK,IN,47942,TRUE,
46487,1135401510,8510 N 895 W,EARL PARK,IN,47942,TRUE,
46488,1135400484,8536 N 890 W,EARL PARK,IN,47942,TRUE,
46489,1135400485,8905 W 850 N,EARL PARK,IN,47942,TRUE,
46490,1135400486,8915 W 850 N,EARL PARK,IN,47942,TRUE,
46491,1135401511,8531 N 895 W,EARL PARK,IN,47942,TRUE,
46492,1135398327,8340 N STATE ROAD 71 BLDG 2,EARL PARK,IN,47942,TRUE,
46493,1135400489,8406 N STATE ROAD 71,EARL PARK,IN,47942,TRUE,
46494,1135400490,8438 N STATE ROAD 71,EARL PARK,IN,47942,TRUE,
46496,1135400472,8774 N STATE ROAD 71,EARL PARK,IN,47942,TRUE,
46497,1135401547,8806 N STATE ROAD 71,EARL PARK,IN,47942,TRUE,
46498,1135400478,8596 N 885 W,EARL PARK,IN,47942,TRUE,
46642,1049712783,659 N SANDHILL RD,COVINGTON,IN,47932,TRUE,
46761,1135398310,8235 W 800 N,EARL PARK,IN,47942,TRUE,
46772,1135400475,8960 W 845 N BLDG 2,EARL PARK,IN,47942,TRUE,
46773,1135401506,8960 W 845 N,EARL PARK,IN,47942,TRUE,
46774,1135400491,8404 N STATE ROAD 71,EARL PARK,IN,47942,TRUE,
46775,1135401543,8340 N STATE ROAD 71,EARL PARK,IN,47942,TRUE,
46780,1135397913,3994 N 600 W,EARL PARK,IN,47942,TRUE,
46781,1135402440,5124 W 475 N,EARL PARK,IN,47942,TRUE,
47107,1123372417,201 S GREEN ST,NEW ROSS,IN,47968,TRUE,
47108,1123372418,205 S GREEN ST,NEW ROSS,IN,47968,TRUE,
47109,1123372419,207 S GREEN ST,NEW ROSS,IN,47968,TRUE,
47110,1123372420,218 RAILROAD ST,NEW ROSS,IN,47968,TRUE,
48143,1049712763,658 N SANDHILL RD,COVINGTON,IN,47932,TRUE,
