OBJECTID,location_id,address_primary,city,state,zip,Challenge_Potential_Served,Uniti_availability
861084,1123499449,4040 W 11TH AVE,GARY,IN,46404,TRUE,
861085,1123439792,1045 LANE ST,GARY,IN,46404,TRUE,
861086,1123439793,1055 LANE ST,GARY,IN,46404,TRUE,
861087,1123439794,1051 LANE ST,GARY,IN,46404,TRUE,
861088,1123439795,1039 LANE ST,GARY,IN,46404,TRUE,
861184,1144669498,8792 N COUNTY ROAD 300 W BLDG 2,BATESVILLE,IN,47006,TRUE,
861185,1144669492,9045 N COUNTY ROAD 300 W,BATESVILLE,IN,47006,TRUE,
861186,1144669519,9561 N COUNTY ROAD 300 W,BATESVILLE,IN,47006,TRUE,
861187,1144669500,2929 W STATE ROAD 229,BATESVILLE,IN,47006,TRUE,
861188,1384712642,2891 W STATE ROAD 229,BATESVILLE,IN,47006,TRUE,
861189,1144669495,8792 N COUNTY ROAD 300 W,BATESVILLE,IN,47006,TRUE,
861191,1144683100,9503 N COUNTY ROAD 350 W,BATESVILLE,IN,47006,TRUE,
861192,1144683144,9558 N US HIGHWAY 421,OSGOOD,IN,47037,TRUE,
861194,1144683128,9410 N US HIGHWAY 421,OSGOOD,IN,47037,TRUE,
861195,1144670825,9610 N COUNTY ROAD 350 W,BATESVILLE,IN,47006,TRUE,
861286,1144682339,6884 W MILLHOUSEN RD,OSGOOD,IN,47037,TRUE,
861288,1144683446,5844 W COUNTY ROAD 1050 N,OSGOOD,IN,47037,TRUE,
861293,1144684157,3675 W COUNTY ROAD 525 N,OSGOOD,IN,47037,TRUE,
861294,1144682981,4733 N COUNTY ROAD 300 W,OSGOOD,IN,47037,TRUE,
861302,1144684175,4061 W COUNTY ROAD 525 N,OSGOOD,IN,47037,TRUE,
861303,1144684185,4183 W COUNTY ROAD 525 N,OSGOOD,IN,47037,TRUE,
861304,1413421387,4168 W COUNTY ROAD 525 N,OSGOOD,IN,47037,TRUE,
861358,1123439796,1033 LANE ST,GARY,IN,46404,TRUE,
861359,1123439797,1021 LANE ST,GARY,IN,46404,TRUE,
861449,1144684190,3846 W COUNTY ROAD 450 N,OSGOOD,IN,47037,TRUE,
861454,1144682979,5141 N COUNTY ROAD 300 W BLDG 2,OSGOOD,IN,47037,TRUE,
